,error_baseline,performance_baseline,error_task,performance_task,bdi,condition_list,pid,pid_nr,confidence_baseline,confidence_task,error_change_baseline,error_change_task,estimate_baseline,estimate_task,subtrial_std_baseline,subtrial_var_baseline,subtrial_std_task,subtrial_var_task,subtrial_error_mean_baseline,subtrial_error_variance_baseline,subtrial_error_std_baseline,subtrial_error_mean_task,subtrial_error_variance_task,subtrial_error_std_task,a_empirical,feedback,session
0,[],[],"[ -6. -18. -45.   0. -27. -22.   0. -17.   2.   6.   4.  -3.   6. -22.
  -1.]",[ 6. 18. 45.  0. 27. 22.  0. 17.  2.  6.  4.  3.  6. 22.  1.],6.0,neut,54d64ee6fdf99b1bfc1d8997,0,[],[52. 19. 38. 49. 24. 55. 51. 50. 50. 59. 41. 59. 57. 24. 52.],[],[ 12.  27. -45.  27.  -5. -22.  17. -15.   4.  -2.  -1.   3.  16. -21.],[],"[32.33333333 23.         55.         50.66666667 80.         68.66666667
 52.66666667 60.66666667 51.33333333 49.66666667 64.66666667 57.66666667
 35.33333333 68.66666667 32.66666667]",[],[],"[13.65039682 21.07130751  7.         29.0229794   0.         23.2880513
 34.23935358 34.94757979 26.31222783 19.73153145  8.326664   31.53305144
 21.38535324 41.9563265  17.0098011 ]","[ 186.33333333  444.           49.          842.33333333    0.
  542.33333333 1172.33333333 1221.33333333  692.33333333  389.33333333
   69.33333333  994.33333333  457.33333333 1760.33333333  289.33333333]",[],[],[],"[ 4.33333333  9.         17.33333333 10.         27.         20.66666667
  8.         18.33333333 12.          6.66666667 10.66666667  9.
  3.33333333  9.66666667 20.33333333]","[  4.33333333  81.         580.33333333 244.           0.
  65.33333333  84.         325.33333333 300.           4.33333333
  69.33333333  36.           6.33333333 126.33333333 905.33333333]","[ 2.081666    9.         24.09010862 15.62049935  0.          8.08290377
  9.16515139 18.03699901 17.32050808  2.081666    8.326664    6.
  2.51661148 11.2398102  30.08875759]","[33.0000000033, 0.8636363636324381, -0.5238095238120181, -1.1904761904705217, 310000000000.0, 0.200000000001, 0.04761904761927437, -0.0, 0.4285714285693878, 0.9473684210576176, 8.99999999955, 1.00000000005, -1.7368421052540168, 280000000000.0]",[51. 41. 17. 70. 24. 35. 30. 29. 71. 40. 43. 57. 76. 24. 71.],0
1,[],[],"[  2.   0. -19.   6. -29. -31.  -3. -37.   1.   2. -13. -13.  -3. -19.
  -2.]",[ 2.  0. 19.  6. 29. 31.  3. 37.  1.  2. 13. 13.  3. 19.  2.],0.0,neut,56b2daca9b4875000b20996d,1,[],[70. 71. 29. 70. 40. 41. 80. 32. 43. 74. 26. 73. 61. 31. 71.],[],[ -2.  19. -13.  23.   2. -28.  34. -36.   1.  11.   0. -10.  16. -17.],[],"[32.66666667 34.33333333 62.33333333 49.33333333 73.66666667 61.33333333
 39.33333333 47.33333333 46.33333333 42.         42.         46.66666667
 30.66666667 64.66666667 39.66666667]",[],[],"[20.30599255 26.63331247 23.15887159 24.78574859  7.5055535  21.22105872
 25.10644008 28.02379941 26.1023626  16.82260384  4.58257569 27.93444707
 17.67295486 35.34590971 33.23151115]","[ 412.33333333  709.33333333  536.33333333  614.33333333   56.33333333
  450.33333333  630.33333333  785.33333333  681.33333333  283.
   21.          780.33333333  312.33333333 1249.33333333 1104.33333333]",[],[],[],"[ 2.          5.         10.66666667 15.33333333 33.33333333 28.
 21.33333333 31.         15.          3.         12.         14.66666667
  2.         15.66666667 10.66666667]","[  0.          31.          72.33333333 186.33333333  56.33333333
  97.         342.33333333 556.         471.           7.
  21.         212.33333333   1.         129.33333333 252.33333333]","[ 0.          5.56776436  8.50490055 13.65039682  7.5055535   9.8488578
 18.50225212 23.57965225 21.70253441  2.64575131  4.58257569 14.571662
  1.         11.37248141 15.88500341]","[10000000000.0, -2.2105263157778396, -2.1578947368534624, -1.428571428564626, -1.0000000001, -2.0526315789581715, 2.086956521748204, -0.5789473684240997, 1.5499999999922502, 2.5263157894869805, 46.9999999953, -5.9999999997, -1.428571428564626, -40.000000004]",[70. 90. 10. 91. 39. 22. 57. 13. 63. 55. 27. 75. 82. 30. 90.],0
2,[],[],"[ -6.  -1. -42.   4. -47. -32.   6. -39.  -7.   7.  -9.   1.  -6. -52.
   1.]",[ 6.  1. 42.  4. 47. 32.  6. 39.  7.  7.  9.  1.  6. 52.  1.],1.0,neut,5718a9c4dd9ef10013df01f0,2,[],[68. 76. 70. 72. 73. 71. 75. 70. 68. 70. 62. 59. 68. 64. 62.],[],[ -5.  41. -38.  43. -15. -26.  33. -32.   0.   2.  -8.   5.  46. -51.],[],"[32.33333333 28.         49.33333333 46.66666667 60.66666667 61.33333333
 44.33333333 53.66666667 39.66666667 35.33333333 40.         46.66666667
 32.         46.66666667 31.66666667]",[],[],"[13.65039682 12.16552506 15.50268794 20.20725942  3.05505046 16.50252506
 19.85782801 26.57693235 21.93931023  6.42910051  5.         14.43375673
 14.         18.92969449 15.0443788 ]","[186.33333333 148.         240.33333333 408.33333333   9.33333333
 272.33333333 394.33333333 706.33333333 481.33333333  41.33333333
  25.         208.33333333 196.         358.33333333 226.33333333]",[],[],[],"[ 4.33333333  4.66666667 22.33333333 16.66666667 46.33333333 28.
 20.33333333 26.         21.         12.33333333 14.         20.66666667
  4.         34.33333333 20.66666667]","[   4.33333333   40.33333333  346.33333333  481.33333333    9.33333333
  237.          336.33333333  433.          631.           22.33333333
   25.          752.33333333    7.          696.33333333 1046.33333333]","[ 2.081666    6.35085296 18.61003314 21.93931023  3.05505046 15.39480432
 18.33939294 20.80865205 25.11971337  4.72581563  5.         27.42869544
  2.64575131 26.38812864 32.34707612]","[-2.6666666667555554, -0.2857142857129252, -0.10526315789529085, 0.05555555555524692, -0.99999999995, -0.2105263157905817, 0.26315789473822715, 0.10526315789529085, 0.0999999999995, 0.4210526315811634, -2.9999999997, -4.5000000002250005, -0.199999999999, 1.00000000005]",[65. 97. 51. 90. 75. 52. 56. 51. 88. 51. 63. 57. 88. 62. 82.],0
3,[],[],[21.  2. 33.  5. 38. 53.  5. 18. 35.  9. 20. 24. 14.  1. 11.],[21.  2. 33.  5. 38. 53.  5. 18. 35.  9. 20. 24. 14.  1. 11.],6.0,neut,58740f5faff49500017b9b8e,3,[],"[100.  34.  21.  29.  35.  31.  40.  39.  39.  35.  15.  10.  11.  12.
  11.]",[],[-19.  31. -28.  33.  15. -48.  13.  17. -26.  11.   4. -10. -13.  10.],[],"[ 39.          36.          94.33333333  88.         138.33333333
 116.66666667  77.          82.66666667  82.33333333  62.
  78.          74.66666667  42.33333333  79.33333333  63.        ]",[],[],"[31.17691454 20.80865205 47.60602203 57.65414122 11.54700538 62.51666445
 57.93962375 53.16327053 51.32575702 28.          6.92820323 42.09908946
 22.27853975 49.65212315 53.69357503]","[ 972.          433.         2266.33333333 3324.          133.33333333
 3908.33333333 3357.         2826.33333333 2634.33333333  784.
   48.         1772.33333333  496.33333333 2465.33333333 2883.        ]",[],[],[],"[ 7.          4.         28.66666667 27.33333333 31.33333333 33.33333333
 16.33333333  9.         21.66666667 19.         24.         14.
 10.33333333  1.         13.33333333]","[147.           4.         320.33333333 404.33333333 133.33333333
 500.33333333 217.33333333  67.         197.33333333  91.
  48.          76.          12.33333333   0.          16.33333333]","[12.12435565  2.         17.89785834 20.10804151 11.54700538 22.36813209
 14.74222959  8.18535277 14.04753834  9.53939201  6.92820323  8.71779789
  3.51188458  0.          4.04145188]","[-660000000000.0, -0.6842105263121885, -0.400000000002, 0.2857142857129252, -40000000000.0, -0.4736842105288088, 0.05000000000025, -0.0, -0.199999999999, 1.0526315789529086, -4.9999999995, 0.9999999999, 0.04761904761882087, -0.499999999975]","[100.  53.   1.  50.  35.  12.  20.  19.  59.  16.  16.  11.  32.  14.
  32.]",0
4,[],[],"[ -6.   1.   5.   2. -28. -29.   5. -18.   7.   1. -12.   2.   6. -14.
   6.]",[ 6.  1.  5.  2. 28. 29.  5. 18.  7.  1. 12.  2.  6. 14.  6.],12.0,neut,590819e205fbfc000147720c,4,[],[59. 37. 57. 64. 56. 64. 65. 44. 53. 57. 65. 52. 52. 66. 71.],[],[ -5.   4.  -3.  26.   1. -24.  13. -11.  -6.  11. -10.   4.   8.  -8.],[],"[29.66666667 30.         76.33333333 50.         85.         69.66666667
 55.66666667 74.         57.33333333 43.33333333 45.33333333 58.
 33.66666667 66.         42.66666667]",[],[],"[15.94783162 13.85640646 31.78574104 32.44996148 11.26942767 21.73323108
 31.65964835 37.80211634 21.73323108 19.13983629  4.163332   35.04283094
 22.81081615 40.03748244 30.66485502]","[ 254.33333333  192.         1010.33333333 1053.          127.
  472.33333333 1002.33333333 1429.          472.33333333  366.33333333
   17.33333333 1228.          520.33333333 1603.          940.33333333]",[],[],[],"[ 3.          3.33333333  6.66666667 12.         22.         19.66666667
  8.33333333 11.         16.66666667  3.66666667  8.66666667  6.
  2.33333333 12.33333333 12.33333333]","[  7.          16.33333333  22.33333333  91.         127.
 101.33333333  72.33333333  43.         142.33333333   5.33333333
  17.33333333  37.          10.33333333 112.33333333 212.33333333]","[ 2.64575131  4.04145188  4.72581563  9.53939201 11.26942767 10.06644591
  8.50490055  6.55743852 11.93035345  2.30940108  4.163332    6.08276253
  3.21455025 10.59874206 14.571662  ]","[11.000000000550001, 1.1111111111049383, -0.38888888889104933, -0.42105263157673134, -8.0000000008, -0.05000000000025, 0.9545454545497933, -0.4736842105288088, 0.19047619047528347, -0.44444444444691356, 13.0000000013, -0.0, 0.7368421052592798, 50000000000.0]",[57. 55. 39. 83. 55. 44. 43. 25. 74. 39. 64. 51. 71. 66. 90.],0
5,[],[],"[ 18.   9.   2.   4. -12. -13.   9.  -5.  10.   8.  26.  -4.  26.  -9.
   8.]",[18.  9.  2.  4. 12. 13.  9.  5. 10.  8. 26.  4. 26.  9.  8.],0.0,neut,597ce9658a05ba00010a57b8,5,[],[60. 74. 65. 88. 70. 78. 84. 84. 73. 84. 65. 85. 85. 73. 91.],[],[ -9.  -7.   2.   8.   1.  -4.  -4.   5.  -2.  18. -22.  22. -17.  -1.],[],"[39.33333333 45.33333333 93.         67.66666667 94.33333333 87.66666667
 65.66666667 70.66666667 56.66666667 57.66666667 76.66666667 59.
 43.66666667 72.66666667 50.33333333]",[],[],"[28.30783166 31.89566324 13.89244399 42.50098038  2.081666   16.44181661
 34.12232896 42.72391992 29.68725877 25.79405616  4.163332   42.22558466
 31.65964835 45.6216323  44.97036061]","[ 801.33333333 1017.33333333  193.         1806.33333333    4.33333333
  270.33333333 1164.33333333 1825.33333333  881.33333333  665.33333333
   17.33333333 1783.         1002.33333333 2081.33333333 2022.33333333]",[],[],[],"[ 7.33333333 13.33333333 21.33333333  7.         12.66666667 11.66666667
 11.          8.33333333 12.66666667 14.66666667 22.66666667  2.33333333
 11.66666667  5.66666667  4.66666667]","[ 86.33333333 170.33333333 281.33333333  37.           4.33333333
  17.33333333  12.          89.33333333 126.33333333  82.33333333
  17.33333333   2.33333333 166.33333333  17.33333333  12.33333333]","[ 9.29157324 13.0511813  16.77299417  6.08276253  2.081666    4.163332
  3.46410162  9.45163125 11.2398102   9.07377173  4.163332    1.52752523
 12.89702808  4.163332    3.51188458]","[-14.0000000014, -0.47368421052382276, -1.0454545454592974, -1.4999999999875, 80000000000.0, -0.31578947368587257, -0.0, 0.55000000000275, 0.4999999999977273, 0.9500000000047499, -20.000000002, -0.0, -0.7999999999946666, 8.99999999955]","[ 59.  93.  43. 100.  70.  59.  64.  64.  95.  64.  64.  84. 100.  75.
 100.]",0
6,[],[],"[ 41.   4.  33.   1.   3. -19.   1.   4.  12.   1.  -4.   1.  12.  -8.
   1.]",[41.  4. 33.  1.  3. 19.  1.  4. 12.  1.  4.  1. 12.  8.  1.],1.0,neut,59b193aff69f3400018671ba,6,[],[82. 89. 91. 91. 89. 87. 88. 90. 91. 80. 91. 90. 91. 89. 89.],[],[-37.  29. -32.   2.  16. -18.   3.   8. -11.   3.  -3.  11.  -4.  -7.],[],"[ 51.66666667  35.         100.          60.66666667 100.
  77.          62.33333333  81.33333333  58.          53.
  50.          58.          38.66666667  74.33333333  44.        ]",[],[],"[37.85938897 17.32050808 34.64101615 44.9592408  10.         19.05255888
 38.63073043 51.38417396 34.69870315 28.16025568  0.         39.58535083
 23.67136104 42.72391992 38.10511777]","[1433.33333333  300.         1200.         2021.33333333  100.
  363.         1492.33333333 2640.33333333 1204.          793.
    0.         1567.          560.33333333 1825.33333333 1452.        ]",[],[],[],"[19.66666667  3.         28.33333333  2.66666667  9.         13.
  7.          3.         10.66666667 10.          4.          3.33333333
  6.66666667  6.66666667  7.        ]","[366.33333333   3.          16.33333333   2.33333333  52.
 108.          31.           3.          82.33333333 133.
   0.          16.33333333  21.33333333   5.33333333 108.        ]","[19.13983629  1.73205081  4.04145188  1.52752523  7.21110255 10.39230485
  5.56776436  1.73205081  9.07377173 11.53256259  0.          4.04145188
  4.61880215  2.30940108 10.39230485]","[70000000000.0, 0.18181818181652892, -0.0, -0.22222222221975307, 2.0000000002, -0.052631578947645426, -0.1000000000005, -0.055555555555864194, -1.222222222208642, -0.47826086956729674, -0.9999999999, 10000000000.0, -0.22222222221975307, -0.0]","[ 82. 100.  71. 100.  88.  68.  68.  72. 100.  57.  92.  90. 100.  88.
 100.]",0
7,[],[],"[ 10.   0. -37.   3. -33. -32.   2. -17.  -2.   1. -11.  -8.   0. -20.
   2.]",[10.  0. 37.  3. 33. 32.  2. 17.  2.  1. 11.  8.  0. 20.  2.],10.0,neut,5a3ad7eada8fb10001d30df3,7,[],[77. 80. 60. 70. 56. 68. 82. 70. 72. 74. 74. 79. 86. 71. 85.],[],[-10.  37. -34.  30.  -1. -30.  15. -15.  -1.  10.  -3.  -8.  20. -18.],[],"[37.33333333 34.         57.33333333 54.         73.         63.66666667
 51.         65.66666667 48.         47.66666667 48.66666667 45.66666667
 32.         67.33333333 39.33333333]",[],[],"[23.2880513  20.80865205 11.67618659 29.51270913  5.56776436 14.0118997
 32.74141109 37.89898855 24.24871131 22.67891826  9.81495458 24.50170062
 19.15724406 39.37427248 31.81718613]","[ 542.33333333  433.          136.33333333  871.           31.
  196.33333333 1072.         1436.33333333  588.          514.33333333
   96.33333333  600.33333333  367.         1550.33333333 1012.33333333]",[],[],[],"[ 5.33333333  2.         15.          9.33333333 34.         25.66666667
 11.         13.33333333 13.33333333  4.66666667  9.33333333 15.
  1.33333333 11.66666667 11.66666667]","[ 25.33333333   4.         372.         162.33333333  31.
 302.33333333  81.         120.33333333 420.33333333  30.33333333
   8.33333333 379.           1.33333333  94.33333333 280.33333333]","[ 5.03322296  2.         19.28730152 12.7410099   5.56776436 17.38773514
  9.         10.96965511 20.50203242  5.50757055  2.88675135 19.46792233
  1.15470054  9.71253486 16.74315781]","[30000000000.0, -1.0526315789418283, -0.5000000000025, -0.6666666666634922, -12.0000000012, -0.7000000000034999, 0.6666666666703703, -0.10526315789529085, 0.11111111111049383, -0.0, 50000000000.0, -3.500000000175, -1.0714285714209184, -7.00000000035]","[ 77.  99.  40.  91.  55.  48.  64.  51.  90.  55.  74.  77. 100.  69.
 100.]",0
8,[],[],"[ -8.   2. -46.  -4. -42. -37.  -2. -40. -20.   0.   0. -13. -11. -31.
   1.]",[ 8.  2. 46.  4. 42. 37.  2. 40. 20.  0.  0. 13. 11. 31.  1.],1.0,neut,5ace0a3ebf2ab00001aa90ab,8,[],[70. 61. 62. 70. 44. 57. 68. 61. 76. 64. 42. 66. 76. 64. 74.],[],[ -6.  44. -42.  38.  -5. -35.  38. -20. -20.   0.  13.  -2.  20. -30.],[],"[27.         26.66666667 49.         35.66666667 68.         59.
 35.66666667 53.         43.33333333 34.33333333 53.66666667 47.
 27.66666667 58.33333333 36.33333333]",[],[],"[16.52271164 10.96965511 10.44030651 17.61628035  3.         16.52271164
 16.50252506 30.5122926  32.03643759 11.93035345  2.51661148 31.43246729
 13.31665624 33.23151115 27.46512941]","[ 273.          120.33333333  109.          310.33333333    9.
  273.          272.33333333  931.         1026.33333333  142.33333333
    6.33333333  988.          177.33333333 1104.33333333  754.33333333]",[],[],[],"[ 5.          6.66666667 22.66666667 25.         39.         30.33333333
 25.         25.33333333 17.33333333  8.66666667  1.66666667 13.66666667
  4.33333333 20.         14.        ]","[  9.          52.33333333 409.33333333 711.           9.
 202.33333333 739.         386.33333333 149.33333333  65.33333333
   2.33333333 144.33333333  34.33333333 273.         469.        ]","[ 3.          7.23417814 20.23198787 26.66458325  3.         14.2243922
 27.18455444 19.65536398 12.22020185  8.08290377  1.52752523 12.01388086
  5.85946528 16.52271164 21.65640783]","[-90000000000.0, 0.04761904761882087, -0.44444444444691356, -1.2380952380893424, -6.5000000003250005, -0.6111111111145061, 0.35000000000174997, -0.7500000000037499, -0.5714285714258504, 1.1000000000055, -24.0000000024, 100000000000.0, -0.5714285714258504, -5.00000000025]",[70. 82. 44. 91. 42. 39. 48. 41. 97. 44. 41. 66. 97. 62. 93.],0
9,[],[],"[-17.  -1. -51.   2. -38. -32.   2. -18. -25.   2. -13. -17. -21. -31.
   1.]",[17.  1. 51.  2. 38. 32.  2. 18. 25.  2. 13. 17. 21. 31.  1.],9.0,neut,5aeb1fb2dba5d40001d699d2,9,[],[57. 68. 65. 65. 41. 42. 47. 60. 51. 62. 71. 65. 80. 71. 70.],[],[-16.  50. -49.  36.  -6. -30.  16.   7. -23.  11.   4.   4.  10. -30.],[],"[27.33333333 21.66666667 41.66666667 55.33333333 69.33333333 58.66666667
 32.66666667 68.66666667 49.         54.33333333 39.33333333 42.33333333
 23.33333333 46.66666667 36.66666667]",[],[],"[ 8.50490055  4.72581563 12.42309677 28.36077103  2.51661148 23.2880513
 10.0166528  42.33595792 43.58898944 27.20906712  2.081666   22.4796204
  8.38649708 28.5365263  26.2741952 ]","[  72.33333333   22.33333333  154.33333333  804.33333333    6.33333333
  542.33333333  100.33333333 1792.33333333 1900.          740.33333333
    4.33333333  505.33333333   70.33333333  814.33333333  690.33333333]",[],[],[],"[ 6.66666667 10.33333333 30.         15.33333333 37.66666667 30.66666667
 29.33333333  9.66666667 11.66666667 11.33333333 14.66666667 19.66666667
  8.66666667 31.66666667 13.66666667]","[  82.33333333  209.33333333  331.          214.33333333    6.33333333
   65.33333333 1001.33333333   72.33333333  142.33333333   69.33333333
    4.33333333  366.33333333  114.33333333  900.33333333  520.33333333]","[ 9.07377173 14.46835628 18.1934054  14.6401275   2.51661148  8.08290377
 31.64385143  8.50490055 11.93035345  8.326664    2.081666   19.13983629
 10.69267662 30.00555504 22.81081615]","[110000000000.0, -0.14999999999925, -0.0, -1.199999999994, 0.499999999975, -0.2272727272737603, -0.6842105263193905, 0.45000000000224993, 0.5789473684180056, -0.5000000000027778, 3.00000000015, -15.0000000015, -0.47368421052382276, 0.500000000025]",[57. 88. 43. 85. 43. 20. 28. 40. 70. 44. 69. 64. 99. 69. 91.],0
